OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,,,id_1,id_2,obj_id
87,105,IND,India,5,Bihar,87,Patna,IN.BR.PA,NA,,District,District,,,,,5,87,87
88,105,IND,India,5,Bihar,88,Purba Champaran,IN.BR.EC,NA,,District,District,,"East Champaran, Purbi Champaran, Purba Champaram",,,5,88,88
89,105,IND,India,5,Bihar,89,Purnia,IN.BR.PU,NA,,District,District,,Purnea,,,5,89,89
90,105,IND,India,5,Bihar,90,Rohtas,IN.BR.RO,NA,,District,District,,,,,5,90,90
91,105,IND,India,5,Bihar,91,Saharsa,IN.BR.SH,NA,,District,District,,,,,5,91,91
92,105,IND,India,5,Bihar,92,Samastipur,IN.BR.SM,NA,,District,District,,,,,5,92,92
93,105,IND,India,5,Bihar,93,Saran,IN.BR.SR,NA,,District,District,,,,,5,93,93
94,105,IND,India,5,Bihar,94,Sheikhpura,IN.BR.SP,NA,,District,District,,,,,5,94,94
95,105,IND,India,5,Bihar,95,Sheohar,IN.BR.SO,NA,,District,District,,,,,5,95,95
96,105,IND,India,5,Bihar,96,Sitamarhi,IN.BR.ST,NA,,District,District,,,,,5,96,96
97,105,IND,India,5,Bihar,97,Siwan,IN.BR.SW,NA,,District,District,,Sivan,,,5,97,97
98,105,IND,India,5,Bihar,98,Supaul,IN.BR.SU,NA,,District,District,,,,,5,98,98
99,105,IND,India,5,Bihar,99,Vaishali,IN.BR.VA,NA,,District,District,,,,,5,99,99
100,105,IND,India,6,Chandigarh,100,Chandigarh,IN.CH.CH,NA,,District,District,,,,,6,100,100
101,105,IND,India,7,Chhattisgarh,101,Baloda Bazar,,NA,,District,District,,,,,7,101,101
102,105,IND,India,7,Chhattisgarh,102,Balod,,NA,,District,District,,,,,7,102,102
103,105,IND,India,7,Chhattisgarh,103,Balrampur,IN.CT.BP,NA,,District,District,,,,,7,103,103
104,105,IND,India,7,Chhattisgarh,104,Bastar,IN.CT.BT,NA,,District,District,,Baster,,,7,104,104
105,105,IND,India,7,Chhattisgarh,105,Bemetara,,NA,,District,District,,,,,7,105,105
106,105,IND,India,7,Chhattisgarh,106,Bijapur,IN.CT.BJ,NA,,District,District,,,,,7,106,106
107,105,IND,India,7,Chhattisgarh,107,Bilaspur,IN.CT.BI,NA,,District,District,,,,,7,107,107
108,105,IND,India,7,Chhattisgarh,108,Dantewada,IN.CT.DW,NA,,District,District,,,,,7,108,108
109,105,IND,India,7,Chhattisgarh,109,Dhamtari,IN.CT.DH,NA,,District,District,,,,,7,109,109
110,105,IND,India,7,Chhattisgarh,110,Durg,IN.CT.DU,NA,,District,District,,,,,7,110,110
111,105,IND,India,7,Chhattisgarh,111,Gariaband,,NA,,District,District,,,,,7,111,111
112,105,IND,India,7,Chhattisgarh,112,Janjgir-Champa,IN.CT.JC,NA,,District,District,,Janjgir,,,7,112,112
113,105,IND,India,7,Chhattisgarh,113,Jashpur,IN.CT.JA,NA,,District,District,,,,,7,113,113
114,105,IND,India,7,Chhattisgarh,114,Kabeerdham,,NA,,District,District,,Kabirdham|Kabeerdham,,,7,114,114
115,105,IND,India,7,Chhattisgarh,115,Kondagaon,,NA,,District,District,,<Null>,,,7,115,115
116,105,IND,India,7,Chhattisgarh,116,Korba,IN.CT.KB,NA,,District,District,,,,,7,116,116
117,105,IND,India,7,Chhattisgarh,117,Koriya,IN.CT.KJ,NA,,District,District,,,,,7,117,117
118,105,IND,India,7,Chhattisgarh,118,Mahasamund,IN.CT.MA,NA,,District,District,,,,,7,118,118
119,105,IND,India,7,Chhattisgarh,119,Mungeli,IN.CT.MG,NA,,District,District,,,,,7,119,119
120,105,IND,India,7,Chhattisgarh,120,Narayanpur,IN.CT.NA,NA,,District,District,,<Null>,,,7,120,120
121,105,IND,India,7,Chhattisgarh,121,Raigarh,IN.CT.RG,NA,,District,District,,,,,7,121,121
122,105,IND,India,7,Chhattisgarh,122,Raipur,IN.CT.RP,NA,,District,District,,,,,7,122,122
123,105,IND,India,7,Chhattisgarh,123,Rajnandgaon,IN.CT.RN,NA,,District,District,,,,,7,123,123
124,105,IND,India,7,Chhattisgarh,124,Sukma,,NA,,District,District,,,,,7,124,124
125,105,IND,India,7,Chhattisgarh,125,Surajpur,,NA,,District,District,,,,,7,125,125
126,105,IND,India,7,Chhattisgarh,126,Surguja,IN.CT.SU,NA,,District,District,,,,,7,126,126
127,105,IND,India,7,Chhattisgarh,127,Uttar Bastar Kanker, ,NA,,District,District,,,,,7,127,127
128,105,IND,India,8,Dadra and Nagar Haveli,128,Dadra and Nagar Haveli,IN.DN.DN,NA,,District,District,,,,,8,128,128
129,105,IND,India,9,Daman and Diu,129,Daman,IN.DD.DA,NA,,District,District,,,,,9,129,129
130,105,IND,India,9,Daman and Diu,130,Diu,IN.DD.DI,NA,,District,District,,,,,9,130,130
131,105,IND,India,10,Goa,131,North Goa,IN.GA.NG,NA,,District,District,,,,,10,131,131
132,105,IND,India,10,Goa,132,South Goa,IN.GA.SG,NA,,District,District,,,,,10,132,132
133,105,IND,India,11,Gujarat,133,Ahmadabad,IN.GJ.AH,NA,,District,District,,,,,11,133,133
134,105,IND,India,11,Gujarat,134,Amreli,IN.GJ.AM,NA,,District,District,,Amereli,,,11,134,134
135,105,IND,India,11,Gujarat,135,Anand,IN.GJ.AN,NA,,District,District,,,,,11,135,135
136,105,IND,India,11,Gujarat,136,Aravalli,,NA,,District,District,,<Null>,,,11,136,136
